_key,image,caucus,election-status,candidate_id
abarca-anabel,abarca-anabel.jpg,,,
arena-john,arena-john.jpg,,,
austin-carrie-m,austin-carrie-m.jpg,Black Caucus,"Indicted, Retiring",
beale-anthony,beale-anthony.jpg,Black Caucus,,14117
brookins-jr-howard,brookins-jr-howard.jpg,Black Caucus,Retiring,
burke-edward-m,burke-edward-m.jpg,,"Indicted, Retiring",
burnett-jr-walter,burnett-jr-walter.jpg,Black Caucus,,8848
burns-william-d,burns-william-d.jpg,,,
cappleman-james,cappleman-james.jpg,LGBT Caucus,Retiring,
cardenas-george-a,cardenas-george-a.jpg,Latino Caucus,,
cardona-jr-felix,cardona-jr-felix.jpg,Latino Caucus,,42117
chico-peter,chico-peter.jpg,Latino Caucus,,46536
clay-angela,clay-angela.jpg,Progressive Caucus,,42479
cochran-willie,cochran-willie.jpg,,,
coleman-stephanie-d,coleman-stephanie-d.jpg,Black Caucus,,29788
conway-william,conway-william.jpg,,,46354
cruz-ruth,cruz-ruth.jpg,"Latino Caucus, Progressive Caucus",,46442
curtis-derrick-g,curtis-derrick-g.jpg,Black Caucus,,28608
dowell-pat,dowell-pat.jpg,Black Caucus,,16892
emanuel-rahm,emanuel-rahm.jpg,,,
ervin-jason-c,ervin-jason-c.jpg,Black Caucus,,25244
foulkes-toni,foulkes-toni.jpg,,,
fuentes-jessica,fuentes-jessica.jpg,"Latino Caucus, Progressive Caucus",,46544
gardiner-james-m,gardiner-james-m.jpg,,,42272
gutierrez-jeylu-b,gutierrez-jeylu-b.jpg,"Latino Caucus, Progressive Caucus",,46461
hadden-maria-e,hadden-maria-e.jpg,"Black Caucus, Progressive Caucus, LGBT Caucus",,40674
hairston-leslie-a,hairston-leslie-a.jpg,"Black Caucus, Progressive Caucus",Retiring,
hall-william-e,hall-william-e.jpg,Black Caucus,,46708
harris-michelle-a,harris-michelle-a.jpg,Black Caucus,,21169
hopkins-brian,hopkins-brian.jpg,,,28160
johnson-brandon,johnson-brandon.jpg,,,
king-sophia,king-sophia.jpg,"Black Caucus, Progressive Caucus","Running for Mayor, not seeking re-election",
knudsen-timothy-r,knudsen-timothy-r.jpg,LGBT Caucus,,46327
la-spata-daniel,la-spata-daniel.jpg,"Democratic Socialist, Latino Caucus, Progressive Caucus",,42075
laurino-margaret,laurino-margaret.jpg,,,
lawson-bennett-r,lawson-bennett-r.jpg,,,46428
lee-nicole-t,lee-nicole-t.jpg,,,46132
lightfoot-lori-e,lightfoot-lori-e.jpg,,,
lopez-raymond-a,lopez-raymond-a.jpg,LGBT Caucus,,43238
maldonado-roberto,maldonado-roberto.jpg,Latino Caucus,Retiring,
manaa-hoppenworth-leni,manaa-hoppenworth-leni.jpg,,,46335
martin-matthew-j,martin-matthew-j.jpg,"Black Caucus, Progressive Caucus",,40859
mell-deborah,mell-deborah.jpg,,,
mendoza-susana-a,mendoza-susana-a.jpg,,,
mitchell-gregory-i,mitchell-gregory-i.jpg,Black Caucus,,24984
mitts-emma,mitts-emma.jpg,Black Caucus,,15421
moore-david-h,moore-david-h.jpg,Black Caucus,,25264
moore-joseph,moore-joseph.jpg,,,
moreno-proco-joe,moreno-proco-joe.jpg,,,
mosley-ronnie-l,mosley-ronnie-l.jpg,Black Caucus,,46526
munoz-ricardo,munoz-ricardo.jpg,,,
napolitano-anthony-v,napolitano-anthony-v.jpg,,,28461
nugent-samantha,nugent-samantha.jpg,,,42035
oconnor-patrick,oconnor-patrick.jpg,,,
oshea-matthew-j,oshea-matthew-j.jpg,,,25077
osterman-harry,osterman-harry.jpg,,Retiring,
pawar-ameya,pawar-ameya.jpg,,,
quinn-marty,quinn-marty.jpg,,,25487
ramirez-julia-m,ramirez-julia-m.jpg,"Latino Caucus, Progressive Caucus",,46528
ramirez-rosa-carlos,ramirez-rosa-carlos.jpg,"Democratic Socialist, Latino Caucus, Progressive Caucus, LGBT Caucus",,28456
reboyras-ariel,reboyras-ariel.jpg,Latino Caucus,Retiring,
reilly-brendan,reilly-brendan.jpg,,,20516
robinson-lamont,robinson-lamont.jpg,Black Caucus,,46617
rodriguez-michael-d,rodriguez-michael-d.jpg,"Latino Caucus, Progressive Caucus",,34334
rodriguez-sanchez-rossana,rodriguez-sanchez-rossana.jpg,"Democratic Socialist, Latino Caucus, Progressive Caucus",,42072
sadlowski-garza-susan,sadlowski-garza-susan.jpg,"Latino Caucus, Progressive Caucus",Retiring,
santiago-milagros-s,santiago-milagros-s.jpg,,,
sawyer-roderick-t,sawyer-roderick-t.jpg,"Black Caucus, Progressive Caucus","Running for Mayor, not seeking re-election",
scott-jr-michael,scott-jr-michael.jpg,Black Caucus,,
scott-monique-l,scott-monique-l.jpg,Black Caucus,,46300
sigcho-lopez-byron,sigcho-lopez-byron.jpg,"Democratic Socialist, Latino Caucus, Progressive Caucus",,28403
silverstein-debra-l,silverstein-debra-l.jpg,,,25135
smith-michele,smith-michele.jpg,,Retiring,
solis-daniel,solis-daniel.jpg,,,
sposato-nicholas,sposato-nicholas.png,,,21027
tabares-silvana,tabares-silvana.jpg,Latino Caucus,,42092
taliaferro-chris,taliaferro-chris.jpg,Black Caucus,,28392
taylor-jeanette-b,taylor-jeanette-b.jpg,"Black Caucus, Democratic Socialist, Progressive Caucus",,40850
thompson-patrick-d,thompson-patrick-d.jpg,,,
tunney-thomas,tunney-thomas.jpg,LGBT Caucus,Retiring,
valencia-anna-m,valencia-anna-m.jpg,,,
vasquez-jr-andre,vasquez-jr-andre.jpg,"Latino Caucus, Progressive Caucus",,41995
villegas-gilbert,villegas-gilbert.jpg,Latino Caucus,,28459
waguespack-scott,waguespack-scott.jpg,,,21073
yancy-desmon-c,yancy-desmon-c.jpg,"Black Caucus, Progressive Caucus",,46626
zalewski-michael-r,zalewski-michael-r.jpg,,,
